x rho vx vy vz p Bx By Bz E
2.441406250000000000e-04 1.080000000000000071e+00 1.199999999999999956e+00 1.000000000000005225e-02 5.000000000000000000e-01 9.499999999999999556e-01 5.641895835477562793e-01 1.015541250385961325e+00 5.641895835477562793e-01 3.171625901801530922e+00
7.324218750000000000e-04 1.080000000000000071e+00 1.199999999999999956e+00 1.000000000000005572e-02 5.000000000000000000e-01 9.499999999999999556e-01 5.641895835477562793e-01 1.015541250385961325e+00 5.641895835477562793e-01 3.171625901801530922e+00
1.220703125000000000e-03 1.080000000000000071e+00 1.199999999999999956e+00 9.999999999999988065e-03 5.000000000000000000e-01 9.499999999999999556e-01 5.641895835477562793e-01 1.015541250385961325e+00 5.641895835477562793e-01 3.171625901801530922e+00
1.708984375000000000e-03 1.080000000000000071e+00 1.199999999999999956e+00 9.999999999999939493e-03 5.000000000000000000e-01 9.499999999999999556e-01 5.641895835477562793e-01 1.015541250385961325e+00 5.641895835477562793e-01 3.171625901801530922e+00
2.197265625000000000e-03 1.080000000000000071e+00 1.199999999999999956e+00 9.999999999999993269e-03 5.000000000000000000e-01 9.499999999999999556e-01 5.641895835477562793e-01 1.015541250385961325e+00 5.641895835477562793e-01 3.171625901801530922e+00
2.685546875000000000e-03 1.080000000000000071e+00 1.199999999999999956e+00 9.999999999999939493e-03 5.000000000000000000e-01 9.499999999999999556e-01 5.641895835477562793e-01 1.015541250385961325e+00 5.641895835477562793e-01 3.171625901801530922e+00
3.173828125000000000e-03 1.080000000000000071e+00 1.199999999999999956e+00 9.999999999999977657e-03 5.000000000000000000e-01 9.499999999999999556e-01 5.641895835477562793e-01 1.015541250385961325e+00 5.641895835477562793e-01 3.171625901801530922e+00
3.662109375000000000e-03 1.080000000000000071e+00 1.199999999999999956e+00 9.999999999999963779e-03 5.000000000000000000e-01 9.499999999999999556e-01 5.641895835477562793e-01 1.015541250385961325e+00 5.641895835477562793e-01 3.171625901801530922e+00
4.150390625000000000e-03 1.080000000000000071e+00 1.199999999999999956e+00 9.999999999999944697e-03 5.000000000000000000e-01 9.499999999999999556e-01 5.641895835477562793e-01 1.015541250385961325e+00 5.641895835477562793e-01 3.171625901801530922e+00
4.638671875000000000e-03 1.080000000000000071e+00 1.199999999999999956e+00 9.999999999999974187e-03 5.000000000000000000e-01 9.499999999999999556e-01 5.641895835477562793e-01 1.015541250385961325e+00 5.641895835477562793e-01 3.171625901801530922e+00
5.126953125000000000e-03 1.080000000000000071e+00 1.199999999999999956e+00 9.999999999999981126e-03 5.000000000000000000e-01 9.499999999999999556e-01 5.641895835477562793e-01 1.015541250385961325e+00 5.641895835477562793e-01 3.171625901801530922e+00
5.615234375000000000e-03 1.080000000000000071e+00 1.199999999999999956e+00 9.999999999999956840e-03 5.000000000000000000e-01 9.499999999999999556e-01 5.641895835477562793e-01 1.015541250385961325e+00 5.641895835477562793e-01 3.171625901801530922e+00
6.103515625000000000e-03 1.080000000000000071e+00 1.199999999999999956e+00 9.999999999999986330e-03 5.000000000000000000e-01 9.499999999999999556e-01 5.641895835477562793e-01 1.015541250385961325e+00 5.641895835477562793e-01 3.171625901801530922e+00
6.591796875000000000e-03 1.080000000000000071e+00 1.199999999999999956e+00 9.999999999999979391e-03 5.000000000000000000e-01 9.499999999999999556e-01 5.641895835477562793e-01 1.015541250385961325e+00 5.641895835477562793e-01 3.171625901801530922e+00
7.080078125000000000e-03 1.080000000000000071e+00 1.199999999999999956e+00 9.999999999999993269e-03 5.000000000000000000e-01 9.499999999999999556e-01 5.641895835477562793e-01 1.015541250385961325e+00 5.641895835477562793e-01 3.171625901801530922e+00
7.568359375000000000e-03 1.080000000000000071e+00 1.199999999999999956e+00 9.999999999999977657e-03 5.000000000000000000e-01 9.499999999999999556e-01 5.641895835477562793e-01 1.015541250385961325e+00 5.641895835477562793e-01 3.171625901801530922e+00
8.056640625000000000e-03 1.080000000000000071e+00 1.199999999999999956e+00 9.999999999999989800e-03 5.000000000000000000e-01 9.499999999999999556e-01 5.641895835477562793e-01 1.015541250385961325e+00 5.641895835477562793e-01 3.171625901801530922e+00
8.544921875000000000e-03 1.080000000000000071e+00 1.199999999999999956e+00 9.999999999999979391e-03 5.000000000000000000e-01 9.499999999999999556e-01 5.641895835477562793e-01 1.015541250385961325e+00 5.641895835477562793e-01 3.171625901801530922e+00
9.033203125000000000e-03 1.080000000000000071e+00 1.199999999999999956e+00 9.999999999999981126e-03 5.000000000000000000e-01 9.499999999999999556e-01 5.641895835477562793e-01 1.015541250385961325e+00 5.641895835477562793e-01 3.171625901801530922e+00
9.521484375000000000e-03 1.080000000000000071e+00 1.199999999999999956e+00 9.999999999999981126e-03 5.000000000000000000e-01 9.499999999999999556e-01 5.641895835477562793e-01 1.015541250385961325e+00 5.641895835477562793e-01 3.171625901801530922e+00
